molecule,method,n_layers,n_parameters,mean_grad_var,std_grad_var,mean_grad_norm,std_grad_norm,n_qubits,runtime_s
H4,efficient_su2,1,32,0.03676438116888571,0.02389083333309161,0.8258797936431581,0.24296170860187855,8,1.078306300099939
H4,efficient_su2,2,48,0.029098144049625484,0.01691435108628707,0.8679607761606022,0.23884878314998825,8,1.475271699950099
H4,efficient_su2,3,64,0.019630301095939207,0.006028106907460085,0.738268419688783,0.1572851472084528,8,1.6432975998613983
H4,efficient_su2,4,80,0.011733381146069517,0.004538935079835769,0.7617299472902138,0.11218213974368293,8,1.9045499998610467
H4,efficient_su2,5,96,0.010088171698966525,0.0035401699012800056,0.8101540433768695,0.09921843583595517,8,2.2289415998384356
H4,efficient_su2,6,112,0.007443656929703982,0.00338581178859086,0.8865530705298498,0.08633365800618689,8,2.3791181000415236
H4,efficient_su2,7,128,0.007705590519098094,0.0030734019696320894,0.939049016371919,0.09221544979167055,8,2.5818115000147372
H4,efficient_su2,8,144,0.00747847655016386,0.0028995316607811307,1.0006469574872696,0.07919423646826257,8,2.725756200030446
H4,efficient_su2,9,160,0.00840283714566644,0.002815547964603283,1.0624245672853059,0.08457573406978593,8,3.0003035000991076
H4,efficient_su2,10,176,0.010669565743016944,0.002733382014788993,1.1252157004593601,0.08696092881643074,8,3.1543010999448597
H4,efficient_su2,11,192,0.009362516862467815,0.0027246279078259545,1.1839843466032367,0.08605035890710673,8,3.458238499937579
H4,efficient_su2,12,208,0.00794793439255387,0.0026676223773869382,1.2560627005874356,0.0773758860423214,8,3.7372082001529634
H4,efficient_su2,13,224,0.007337317772385749,0.002509964531619175,1.2932674082729374,0.08678350845906367,8,3.918905100086704
H4,efficient_su2,14,240,0.007317611991958972,0.002536636244923575,1.3639899546591472,0.09269194026269736,8,4.113332899985835
H4,efficient_su2,15,256,0.007493192049827927,0.0024843729589699897,1.3939808344628128,0.08714366892985273,8,4.3765692000743
H4,efficient_su2,16,272,0.006717321213792514,0.0023400484203131297,1.4403448790852866,0.08511796046743014,8,4.589870899915695
H4,efficient_su2,17,288,0.010118777009758212,0.0023981795446810414,1.5063350204724038,0.09136743982429325,8,4.721249099820852
H4,efficient_su2,18,304,0.008337134999207865,0.002358975252542609,1.547174008375963,0.09438501118271386,8,5.1685889000073075
H4,efficient_su2,19,320,0.011545063045359653,0.0023160211890415846,1.5730280968228734,0.08223259790908166,8,5.135340300155804
H4,efficient_su2,20,336,0.009857432571631493,0.0022396616072024693,1.628321644479258,0.09456667558334363,8,5.443981199990958
H4,efficient_su2,21,352,0.010115077181113907,0.0021801756498784426,1.6605503914378537,0.10054997441107902,8,5.611423900118098
H4,efficient_su2,22,368,0.009822441699104022,0.00218055354480418,1.714931294218415,0.0919258131523338,8,5.779566700104624
H4,efficient_su2,23,384,0.00810929923857179,0.002141258109780781,1.7390874513755548,0.09762712687183464,8,6.255381599999964
H4,efficient_su2,24,400,0.007162156615256054,0.002109916498135851,1.7783489262162764,0.08986357678360844,8,6.279280400136486
H4,efficient_su2,25,416,0.009472577347804177,0.0020831499192013594,1.822686688681627,0.10056055467228651,8,6.521471000043675
H4,efficient_su2,26,432,0.007698387814374302,0.0021001249836040173,1.8708070123113925,0.09907107553521365,8,6.832418299978599
H4,efficient_su2,27,448,0.007889448019703295,0.002062516076392114,1.90346305558822,0.10526423655352002,8,7.033662999980152
H4,efficient_su2,28,464,0.009612266215009302,0.0020727903585431636,1.9491456241807614,0.10714757247185878,8,7.228288100101054
H4,efficient_su2,29,480,0.007301760945143487,0.002067684496411221,1.9795019967858756,0.10335932849144024,8,7.400668099988252
H4,efficient_su2,30,496,0.01017046955843319,0.001970361946935497,2.015264772471605,0.09214556452512715,8,7.738938699942082
H4,efficient_su2,31,512,0.00968586870680545,0.001992931842443696,2.040222439085575,0.1032257499901346,8,8.038678899873048
H4,efficient_su2,32,528,0.008187227897917832,0.001961096858915094,2.089181785924889,0.10542249110431876,8,8.23389510018751
H4,efficient_su2,33,544,0.011298183185528037,0.0019707756029181374,2.0983942985246675,0.09820897023049298,8,8.120930100092664
H4,efficient_su2,34,560,0.01020144836059145,0.0019571070005114893,2.1302377131858936,0.11757193106615894,8,8.263641400029883
H4,efficient_su2,35,576,0.007031344896903824,0.0018896752346274583,2.1555183800278668,0.11951974795255424,8,8.777134499978274
H4,efficient_su2,36,592,0.00766748223045009,0.0018844415769732228,2.2085903003621237,0.12068399369408263,8,9.142899499973282
H4,efficient_su2,37,608,0.00795728360463042,0.0018469130533899287,2.225223305514665,0.11560133281765274,8,9.417987500084564
H4,efficient_su2,38,624,0.008726598795660673,0.001908863251439068,2.2685131872443276,0.11939491896943487,8,9.487256200052798
H4,efficient_su2,39,640,0.008366545432252803,0.0018755861597897774,2.3084368329481673,0.1243102154593806,8,9.608210399979725
H4,efficient_su2,40,656,0.008441036330303176,0.0018498510359728501,2.315611684699015,0.11038397669633106,8,9.91251050005667
H4,efficient_su2,41,672,0.008424912466204281,0.0018447624886891829,2.3489715194719527,0.1317078992391368,8,10.217011400032789
H4,efficient_su2,42,688,0.0073768738690191925,0.0018136806110452609,2.3893558140067883,0.11428830223558664,8,10.352180199930444
H4,efficient_su2,43,704,0.008224951771264807,0.0018202100393425993,2.3941164849687717,0.11189845328209362,8,10.702753599965945
H4,efficient_su2,44,720,0.007922186506582425,0.0018526218173515552,2.4562797002293526,0.1268464953656824,8,10.82094409991987
H4,efficient_su2,45,736,0.008993009015497593,0.0017950797153747787,2.452331503198485,0.11890789133784108,8,10.970257200067863
H4,efficient_su2,46,752,0.01034536739723079,0.0017849336339821524,2.4898389848834874,0.11410268510468809,8,11.313811300089583
H4,efficient_su2,47,768,0.007738600388774399,0.0018198087460873113,2.5368231494533204,0.13429076111640476,8,11.65397290000692
H4,efficient_su2,48,784,0.00817643218091799,0.0017155975114259909,2.5309108941292475,0.11493548494711131,8,11.83984769997187
H4,efficient_su2,49,800,0.009558175328248559,0.001736483034265889,2.5762368457989027,0.12014195498092657,8,11.813904999988154
H4,efficient_su2,50,816,0.008811260154254087,0.0017521905759204461,2.5956202099657393,0.12299680636056713,8,12.371245400048792
