optimizer,method,final_energy,energy_error,fidelity,n_params,runtime_s
adam,standard,-1.719948869189161,0.013106994677649197,0.9965556464324828,80,17.06736509996699
adam,local_global,-1.7120417148136031,0.021014149053206976,0.9906560461233592,80,33.17007290001493
adam,adiabatic,-1.7082643555266521,0.024791508340157975,0.9897113920181353,80,32.703009099990595
adam,sea,-1.7289572942056624,0.004098569661147744,0.9991244976424309,84,18.138284800050315
adam,pretrained,-1.724059975950232,0.008995887916578127,0.9978226658366329,672,208.030220799963
