optimizer,method,final_energy,energy_error,fidelity,n_params,stability,runtime_s
spsa,standard,-40.596281271916325,14.92291637462882,1.4869489131148512e-05,160,0.38780297702354405,941.6471954999724
spsa,local_global,-39.56646011982314,15.952737526722004,2.902159104388189e-05,160,0.27520340205035343,1278.5056786999921
spsa,adiabatic,-39.36950133769752,16.149696308847624,2.1406555222335773e-06,160,0.3205927759469572,1571.2728258999996
spsa,sea,-35.48114725882558,20.038050387719565,1.1133420515982555e-06,192,1.7242924943068865,939.3433740999899
spsa,pretrained,-39.943032569263906,15.576165077281239,1.335609722524423e-05,160,0.24774628536250443,954.172103799996
adam,standard,-55.45403249422589,0.06516515231925268,0.966154963826008,160,0.00011633073441963813,886.1779776000185
adam,local_global,-55.45338206142383,0.0658155851213138,0.9661119175893742,160,0.00045806689289635167,1231.4685152000166
adam,adiabatic,-55.45358741725762,0.0656102292875218,0.9661088153677825,160,0.0008913515423238375,1451.2170807000366
adam,sea,-55.47628938261961,0.04290826392553271,0.9788035756962438,192,0.003498509562136175,909.3241726999986
adam,pretrained,-54.841134296983256,0.6780633495618886,5.661224055444572e-11,160,1.4801278711966993e-05,903.1473246999667
cobyla,standard,-44.51306804553296,11.006129601012184,1.4910895711943562e-05,160,0.004913402596066888,940.341373800009
cobyla,local_global,-46.50429474680911,9.014902899736036,2.5133227152562898e-05,160,7.105427357601002e-15,1836.2881165000144
cobyla,adiabatic,-39.12764387501274,16.391553771532408,1.1366183717334308e-05,160,0.0,2005.3535322999815
cobyla,sea,-49.79478749397657,5.7244101525685736,0.0002805850148235815,192,0.02728690069215646,975.5193184999516
cobyla,pretrained,-44.441120306693186,11.078077339851959,0.0008299290947855189,160,0.01279651778124631,946.2932471999666
