molecule,method,n_layers,n_parameters,mean_grad_var,std_grad_var,mean_grad_norm,std_grad_norm,n_qubits,runtime_s
BeH2,efficient_su2,1,56,0.7766224773674473,0.24579705555280473,2.1630448770597854,0.4966624304154748,14,14.449475699919276
BeH2,efficient_su2,2,84,0.21324317728936518,0.07717699466260217,1.6654477635813125,0.4917151318540633,14,14.843620999949053
BeH2,efficient_su2,3,112,0.03976570237367552,0.028275256746787585,1.1597157301035037,0.4659374887087953,14,15.05874209990725
BeH2,efficient_su2,4,140,0.01869645358160932,0.009738044542469664,0.7911400744084071,0.3505905282882721,14,15.955854199943133
BeH2,efficient_su2,5,168,0.007448162304580195,0.005157747403167797,0.6526731004919057,0.2393297351436792,14,17.565315400017425
BeH2,efficient_su2,6,196,0.0029301441188755266,0.002032984281994125,0.4913690300022809,0.19592572689461032,14,18.668581899954006
BeH2,efficient_su2,7,224,0.0013320087673746412,0.0009701969343984272,0.4171763290150595,0.14013099148151006,14,19.89129529998172
BeH2,efficient_su2,8,252,0.0005964922134339548,0.00047256764852242995,0.3713626442466088,0.08171123078237684,14,19.361037000082433
BeH2,efficient_su2,9,280,0.0005006910903697877,0.0002449580696433206,0.3501218607434639,0.0295276649431316,14,19.506264099967666
BeH2,efficient_su2,10,308,0.0004773671953894337,0.00019945285195866724,0.356903057282542,0.023925408167516742,14,20.273011600016616
BeH2,efficient_su2,11,336,0.0004965818110404242,0.00017723243014862385,0.36885386002897413,0.02126300230907879,14,21.37258510000538
BeH2,efficient_su2,12,364,0.0004986951648919956,0.00016531315365458514,0.38224362048591287,0.020085573541519817,14,21.93253580003511
BeH2,efficient_su2,13,392,0.0005425406729992738,0.00016252674680134892,0.3956593197154901,0.01567878683423203,14,22.53155259997584
BeH2,efficient_su2,14,420,0.00042670575963177213,0.00015673429145421773,0.4151750184352132,0.01628620695767319,14,22.929590299958363
BeH2,efficient_su2,15,448,0.0005099665504725011,0.00015175153852678815,0.42666477486374993,0.016680914966926683,14,24.073006800026633
BeH2,efficient_su2,16,476,0.0003927279789250126,0.00015227262867121582,0.4441434847259255,0.019147106208453796,14,24.26669389999006
BeH2,efficient_su2,17,504,0.0003914744679397396,0.00014642017796955524,0.46098876972456393,0.015773973507629095,14,24.809961599996313
BeH2,efficient_su2,18,532,0.0004662656859178752,0.00014889555646866603,0.47416644215736775,0.01815349757716438,14,25.179305300000124
BeH2,efficient_su2,19,560,0.0005604828667219509,0.0001403443794882532,0.48344403053251966,0.016538285437052956,14,26.078188800020143
BeH2,efficient_su2,20,588,0.0004620181322576397,0.00014116165299363288,0.5010572474972101,0.01824105435169016,14,27.295667300000787
BeH2,efficient_su2,21,616,0.0006620712068800282,0.00014091644491328706,0.5169527121005649,0.016835754143643772,14,27.72132240002975
BeH2,efficient_su2,22,644,0.0005623123001672914,0.00013905819027668103,0.5321938642165037,0.0152672687784697,14,28.117583799990825
BeH2,efficient_su2,23,672,0.0005341874788653884,0.00013743428251508557,0.5427382529552822,0.014963392553391765,14,28.70079369994346
BeH2,efficient_su2,24,700,0.000609941701402436,0.00013378767873367418,0.553567622828636,0.017340874538912535,14,29.20189909997862
BeH2,efficient_su2,25,728,0.0004959674318199491,0.00013263272074164273,0.5639534877889099,0.01745852608078066,14,29.711351199890487
BeH2,efficient_su2,26,756,0.00045338453318512944,0.00012807223717964768,0.5761340130100419,0.017588440520355852,14,30.83722200000193
BeH2,efficient_su2,27,784,0.0005510776109777705,0.00013001158148083484,0.5886984290699239,0.017174040859067503,14,32.10854719998315
BeH2,efficient_su2,28,812,0.0005037429813448779,0.0001278759510422995,0.5972244813834316,0.014645329375980853,14,32.49862920003943
BeH2,efficient_su2,29,840,0.0005807586070365035,0.00012649524006661897,0.6110678351005356,0.01610838381133195,14,33.03627389995381
BeH2,efficient_su2,30,868,0.0005271105677566552,0.00012550736422782416,0.6248481884398902,0.016519781302295648,14,33.13303539995104
BeH2,efficient_su2,31,896,0.0006120832936055432,0.00012166757451964758,0.6333385556600731,0.017365922343397452,14,33.28385430003982
BeH2,efficient_su2,32,924,0.00038127657403187114,0.00012200557922759178,0.643098295403302,0.015552945695694419,14,34.89048990001902
BeH2,efficient_su2,33,952,0.0005530011756174621,0.00012050726512965588,0.653926207187906,0.014638453600720771,14,35.542576499981806
BeH2,efficient_su2,34,980,0.0004908685182089625,0.00011822059454199673,0.6623025240094903,0.017359966182848862,14,37.5352309999289
BeH2,efficient_su2,35,1008,0.0003856115249329753,0.00012005122547283912,0.6729923554640312,0.016754479028554342,14,39.930989200016484
BeH2,efficient_su2,36,1036,0.00041281579865310776,0.00011599752538362206,0.6803827105326711,0.01728557295122803,14,37.92297289997805
BeH2,efficient_su2,37,1064,0.000477180569356352,0.00011789816578569411,0.6943304238884579,0.015228392343955188,14,39.99905839993153
BeH2,efficient_su2,38,1092,0.0005038815895799905,0.00011519311252611205,0.7013490689496246,0.016062109086354723,14,40.02875399996992
BeH2,efficient_su2,39,1120,0.00046480004995690723,0.00011559580025096454,0.7097761092982912,0.015709506102938704,14,39.99592119990848
BeH2,efficient_su2,40,1148,0.0005266986860235662,0.0001147866270055993,0.7193624100290144,0.016600383916096577,14,40.895246999920346
BeH2,efficient_su2,41,1176,0.0003762455259975567,0.00011444509602984723,0.730117510556608,0.0164568739568838,14,40.54491660010535
BeH2,efficient_su2,42,1204,0.00043410007682811476,0.00011221962422178635,0.7397941495458913,0.01772140461911788,14,41.61663339997176
BeH2,efficient_su2,43,1232,0.0005335160135424545,0.00011491544160505985,0.7512797546344794,0.018413760601340135,14,43.484311699983664
BeH2,efficient_su2,44,1260,0.00048042291991115484,0.00011360947619983201,0.7584680654892283,0.016931123199290667,14,44.24744529998861
BeH2,efficient_su2,45,1288,0.0005087226816049092,0.00011129758956341309,0.7665229945167863,0.015989468103874735,14,43.01977000001352
BeH2,efficient_su2,46,1316,0.0006080886823078509,0.00010839103127696374,0.7762134827474668,0.01570032886017878,14,46.01570839993656
BeH2,efficient_su2,47,1344,0.00038744135265534116,0.00011154752885708384,0.7852386982418385,0.01763627198539306,14,45.44661380001344
BeH2,efficient_su2,48,1372,0.00048647052744357874,0.00011007276370979006,0.794613506978904,0.015297645192353012,14,45.119050099980086
BeH2,efficient_su2,49,1400,0.0005269219000928855,0.00010956606986238656,0.801815072834528,0.016265126590721678,14,46.19163989997469
BeH2,efficient_su2,50,1428,0.0005924139730961362,0.00010723466712858203,0.8127312333366759,0.017597220566659137,14,46.48375290003605
