molecule,method,n_layers,n_parameters,mean_grad_var,std_grad_var,mean_grad_norm,std_grad_norm,n_qubits,runtime_s
NH3,efficient_su2,1,64,11.858754033326443,3.0847092512619287,7.330551261075424,2.1021118383952255,16,180.9410834000446
NH3,efficient_su2,2,96,2.029689360576603,0.9022360246841863,5.624942549784888,1.9680834040876554,16,186.8366433000192
NH3,efficient_su2,3,128,0.5727661431587996,0.30928558559426994,3.7765220416050522,1.6351099362180492,16,191.6701881000772
NH3,efficient_su2,4,160,0.23067714041592668,0.13328531367246918,2.938925706222567,1.1789926072836916,16,193.35349560016766
NH3,efficient_su2,5,192,0.06938848963749833,0.05760574761370315,2.1266390801386175,1.052499261299497,16,194.50084379990585
NH3,efficient_su2,6,224,0.032791662954030174,0.02604183983891384,1.6026355063501554,0.7494117752070901,16,195.92074979981408
NH3,efficient_su2,7,256,0.011724737513835626,0.007292148198408892,1.0470000432242343,0.41141868951600236,16,195.4767159000039
NH3,efficient_su2,8,288,0.005392629960036853,0.005248705660303121,0.9296913555798395,0.39983183576555786,16,196.4859046000056
NH3,efficient_su2,9,320,0.0021929750075736416,0.001776033213140678,0.7574078486392827,0.20176138267849592,16,198.03694449993782
NH3,efficient_su2,10,352,0.002197518576724024,0.001200861710000105,0.7301780175658916,0.14533602663760262,16,200.3042288001161
NH3,efficient_su2,11,384,0.0019002196810838825,0.0006181802700114554,0.6885472298284312,0.05615925315681423,16,201.15434279991314
NH3,efficient_su2,12,416,0.0016057581358347962,0.0005420539129266974,0.7010805175413712,0.04647360684857393,16,203.90360440011136
NH3,efficient_su2,13,448,0.0013224645303750529,0.00047282034458399235,0.7153367565598064,0.03195516958222629,16,205.94364669988863
NH3,efficient_su2,14,480,0.0012321474009344734,0.0004595858670325215,0.7383850601750644,0.029470368619438823,16,208.57511850004084
NH3,efficient_su2,15,512,0.0016817846774528596,0.0004558866814213849,0.7682953042848869,0.03131943258466143,16,211.37895889999345
NH3,efficient_su2,16,544,0.0011246616965992994,0.00042340260754742846,0.7931101175163197,0.029460110235744092,16,211.77449889993295
NH3,efficient_su2,17,576,0.001505570478853116,0.00042834228145884095,0.8202197645574827,0.02425822920470727,16,211.60761129995808
NH3,efficient_su2,18,608,0.0013042889637859911,0.00042884322575330086,0.8504163327782771,0.02966872262475337,16,214.26998129999265
NH3,efficient_su2,19,640,0.0017390220161415354,0.0004182332106046089,0.8739264214354963,0.02972613557484734,16,217.48414180008695
NH3,efficient_su2,20,672,0.0015122805650717227,0.00041712492954343143,0.8996380396656383,0.027606460268096888,16,219.01857340009883
NH3,efficient_su2,21,704,0.0010625330943710672,0.0004080246710370461,0.9229513853169891,0.029442757607470466,16,226.5174652999267
NH3,efficient_su2,22,736,0.0010607906913263853,0.0003980588598013418,0.9443378738288756,0.027505568595559176,16,227.16180879995227
NH3,efficient_su2,23,768,0.0016274411179003385,0.0003965669314955879,0.9736453796417163,0.02584620534861455,16,229.07487970008515
NH3,efficient_su2,24,800,0.0016410807065980577,0.00038777094613741387,0.986954861308387,0.02947425566020431,16,241.1016122000292
NH3,efficient_su2,25,832,0.0013855261018762333,0.00038739344592821057,1.0122363378475234,0.02811800810478167,16,229.93702389998361
NH3,efficient_su2,26,864,0.0012046640842378095,0.00038837442072784116,1.0340304645588845,0.028197264754327028,16,227.13313870015554
NH3,efficient_su2,27,896,0.0013864946686752346,0.00037764116952471725,1.0551741974118192,0.025789836557107867,16,228.98433959996328
