optimizer,method,final_energy,energy_error,fidelity,n_params,stability,runtime_s
spsa,standard,-6.296678655643571,1.4475884486137671,0.0026991859784112056,120,0.014101713011401692,46.20727980002994
spsa,local_global,-6.512847477552748,1.2314196267045903,0.0021831426385643467,120,0.02281127661506109,67.16456219996326
spsa,adiabatic,-5.9234704339273945,1.820796670329944,0.008506510188248762,120,0.02077444934649191,92.13063889998011
spsa,sea,-6.394012433024936,1.3502546712324026,0.016151109157976674,138,0.05751245635367718,50.805587899987586
spsa,pretrained,-6.939656905143849,0.8046101991134895,0.0026748114303530046,120,0.02271581122540744,48.78858699998818
adam,standard,-7.564252274031405,0.18001483022593323,2.7869050923542664e-29,120,0.00010902877941421749,35.439959300041664
adam,local_global,-7.7267783491110045,0.01748875514633408,0.9813102001453203,120,6.78073865550148e-05,55.242418800015
adam,adiabatic,-7.726679707158859,0.01758739709847923,0.9812260440532466,120,0.00029256747270845667,72.4220667000045
adam,sea,-7.738236333049775,0.006030771207563568,0.9890348783984731,138,0.00029316866938697777,37.18127600004664
adam,pretrained,-7.726791240174737,0.017475864082601156,0.9813241382836176,120,1.1034081696838624e-08,34.979291399999056
cobyla,standard,-6.47185227038944,1.2724148338678987,0.06442164067172937,120,0.002481430033773235,48.52342470001895
cobyla,local_global,-6.671265761675632,1.0730013425817067,0.005471049601722764,120,0.014759488760815481,91.7136817999999
cobyla,adiabatic,-4.78746132499623,2.956805779261108,0.011675191994320534,120,0.0,115.43033270002343
cobyla,sea,-7.2514050853932694,0.4928620188640691,0.01879759497391945,138,0.012753475742965413,51.873499100038316
cobyla,pretrained,-6.919408591137503,0.8248585131198354,0.007133306881238904,120,0.01169792183014163,48.81508000002941
