optimizer,method,final_energy,energy_error,fidelity,n_params,stability,runtime_s
spsa,standard,-1.2525763706378508,0.48047949322895933,0.5661111034005595,80,0.04058917652254951,11.920224400004372
spsa,local_global,-0.5760130575972794,1.1570428062695308,0.14631006229637053,80,0.01959578913402054,18.278031199995894
spsa,adiabatic,-0.8556358760990435,0.8774199877677666,0.46358753245246115,80,0.02257583406924875,24.353086700022686
spsa,sea,-0.5688973884585534,1.1641584754082568,0.4215498240121628,84,0.14141144627799648,13.649366799974814
spsa,pretrained,-0.09204412130546787,1.6410117425613422,0.028050973789486837,80,0.020823216450225883,12.778511899989098
adam,standard,-1.7208412755518974,0.012214588314912733,0.996684539939689,80,5.126779927029819e-06,9.688887999975123
adam,local_global,-1.7191145036938082,0.013941360173001849,0.9964343053193931,80,0.00020010496059256965,15.054366299998946
adam,adiabatic,-1.7191539527142987,0.013901911152511381,0.9964474504714387,80,0.00014629216434708525,18.134850200032815
adam,sea,-1.717314855144835,0.015741008721975147,0.9960201337354359,84,0.0028649657662987585,9.84583260002546
adam,pretrained,-1.7087557638598665,0.024300100006943604,0.9897667513435052,80,1.565790998347381e-08,9.053818400017917
cobyla,standard,-1.3700628170692688,0.3629930467975413,0.563601619379219,80,0.0017198513968365756,12.737928199989256
cobyla,local_global,-1.1397445161451993,0.5933113477216108,0.2537242477871225,80,0.0034396732317181753,33.592254400020465
cobyla,adiabatic,0.5392382901364765,2.2722941540032866,0.018812507082452426,80,0.008003323336948295,34.776286100037396
cobyla,sea,-1.6619644343489999,0.07109142951781022,0.933714253494189,84,0.0019391086016653514,14.757525900029577
cobyla,pretrained,-0.8160554103006626,0.9170004535661475,0.001538467538610024,80,0.0054468280185503955,13.756799300026614
