molecule,method,n_layers,n_parameters,mean_grad_var,std_grad_var,mean_grad_norm,std_grad_norm,n_qubits,runtime_s
H2,efficient_su2,1,16,0.015464450177511541,0.006199075815453219,0.3453030736782907,0.09196120731028892,4,0.324013999896124
H2,efficient_su2,2,24,0.0075198741364594125,0.0033079590321532914,0.3758165727942058,0.076667769387008,4,0.4296404999913648
H2,efficient_su2,3,32,0.008664362000472102,0.0030457263495268522,0.45259068887163245,0.09009240494079798,4,0.5314231999218464
H2,efficient_su2,4,40,0.01125962136657745,0.0031862612690767875,0.5387637989039888,0.09439746758753714,4,0.6123527999734506
H2,efficient_su2,5,48,0.007990379764551924,0.002837517571229838,0.5983876988733847,0.09482517239222589,4,0.6683027000399306
H2,efficient_su2,6,56,0.008811501955928917,0.0027693853267401628,0.6638374159269098,0.10237888949390518,4,0.8077739999862388
H2,efficient_su2,7,64,0.009341577290439971,0.0026247169426863947,0.7107964840777354,0.11431071171520299,4,0.9338968000374734
H2,efficient_su2,8,72,0.009652863276379653,0.002666851617634424,0.7609711193959595,0.11151294355640147,4,1.1258803000673652
H2,efficient_su2,9,80,0.00931277263351163,0.002522901809820777,0.8086639586654991,0.1172365075332771,4,1.1538908999646083
H2,efficient_su2,10,88,0.008016015260169495,0.0024540426810880514,0.8571486113590335,0.11460180371268495,4,1.3223224999383092
H2,efficient_su2,11,96,0.011167960203927732,0.0024014141142678106,0.9008290993760376,0.14105524110538573,4,1.3081081000855193
H2,efficient_su2,12,104,0.010136069595343189,0.0023365798950110133,0.9523443602265479,0.13141385232455238,4,1.5065270999912173
H2,efficient_su2,13,112,0.009139510787519243,0.002282581659235723,0.9723531258737989,0.12861333369089178,4,1.5011154999956489
H2,efficient_su2,14,120,0.007288749226150672,0.002279596029223704,1.0121656247383897,0.1420933451032177,4,1.6231863000430167
H2,efficient_su2,15,128,0.00927982330073892,0.0021642884560835875,1.0482754599070774,0.14660635179248802,4,1.697465299977921
H2,efficient_su2,16,136,0.009417883222778119,0.0020733538676543485,1.0693063103174085,0.1384073912764124,4,1.7824990999652073
H2,efficient_su2,17,144,0.01020829345083223,0.002078250451397168,1.1066146629100821,0.17581297362474058,4,1.98524459998589
H2,efficient_su2,18,152,0.008414568674893812,0.001999941182261282,1.1226549298128135,0.15340098092751825,4,2.000687599997036
H2,efficient_su2,19,160,0.008259624826719021,0.0019848103918345254,1.16606719594389,0.13964883909475315,4,2.1149302000412717
H2,efficient_su2,20,168,0.011348122307117315,0.001969939006817354,1.2150240334186875,0.16567270089241024,4,2.240289799985476
H2,efficient_su2,21,176,0.011488576538924442,0.001870244584577958,1.2105282419303223,0.15637587248799698,4,2.348272899980657
H2,efficient_su2,22,184,0.007879505161243219,0.0018408381242400857,1.238166145425029,0.16074620595790984,4,2.4318799000466242
H2,efficient_su2,23,192,0.011834506098604399,0.0019735973062985643,1.2762552300334116,0.18418791207659813,4,2.5263898000121117
H2,efficient_su2,24,200,0.009255527567024134,0.0019704502054163865,1.3317193995313354,0.17290973436783846,4,2.5500696999952197
H2,efficient_su2,25,208,0.009536081026836176,0.0019179166104514225,1.3637178565343193,0.17836012817371497,4,2.7902586000273004
H2,efficient_su2,26,216,0.009937395225295232,0.0018808045309496376,1.4040764498237208,0.1759135762442426,4,2.819163899985142
H2,efficient_su2,27,224,0.00839450764839741,0.0017848949367906329,1.3587717599275344,0.16332586067390573,4,2.916650200029835
H2,efficient_su2,28,232,0.011975141444598965,0.0018452636267680131,1.4301426466893614,0.18841588565128595,4,3.0113050000509247
H2,efficient_su2,29,240,0.011605806386856593,0.0018051200300924488,1.4633678925063895,0.19567141237000407,4,3.1102754999883473
