optimizer,method,final_energy,energy_error,fidelity,n_params,stability,runtime_s
spsa,standard,-10.965577811048183,3.0487016465051777,0.0002173582084439321,140,0.04151239848064897,94.01793559995713
spsa,local_global,-11.028363725647779,2.985915731905582,0.0002875436058044973,140,0.05825675962450616,130.3238911999506
spsa,adiabatic,-9.523841673547892,4.490437784005469,0.00093492778639874,140,0.03363319853631307,160.10290030000033
spsa,sea,-9.37435193573969,4.6399275218136715,7.537832669339138e-06,165,0.121410377955593,100.37220099999104
spsa,pretrained,-9.383041059714193,4.631238397839168,0.00020427942421329893,140,0.028368981800880586,93.60792739997851
adam,standard,-13.664069407478687,0.3502100500746739,1.4790822217604446e-10,140,0.001055020238433624,85.1365471999743
adam,local_global,-13.914420202550144,0.09985925500321713,0.48019110214664584,140,5.691735159025188e-07,119.23787290003384
adam,adiabatic,-13.97377520264245,0.040504254910910475,0.9626734912406806,140,0.0008691892303353791,140.844031500048
adam,sea,-13.974350861524774,0.03992859602858623,0.9649072712250819,165,0.0020265203355092215,83.60991749999812
adam,pretrained,-13.982055717616959,0.03222373993640204,0.9763414727973093,140,0.002071507205129192,79.63591479999013
cobyla,standard,-10.17885033311407,3.8354291244392904,0.00021806158764405397,140,0.0,94.35271680000005
cobyla,local_global,-9.426779710714026,4.587499746839335,3.0220811179646947e-05,140,0.004078344002484245,177.64018789998954
cobyla,adiabatic,-8.504493969914522,5.509785487638839,0.00010549762802152715,140,0.005409093992557879,209.50046060001478
cobyla,sea,-12.72888245443594,1.2853970031174207,2.7363212525996715e-05,165,0.031913069575669174,99.25293529999908
cobyla,pretrained,-10.489274959013036,3.5250044985403246,0.00012253554513382527,140,0.010489019380118274,92.4768664999865
